Sl,Code,Name,,Barcode,,Opening Stock,O-Stock Value,Stock,Cost,Cost.Value,,P.Price,Value,,Supplier,P.Date,Stock Age,Age in Months,Sale Price,B-MRP,Product,Brand,Batch Size\Wt.,Sale Value,Exp Date,Barcode Sl.No,Price Code,MRP,Section,Min QTY,Min-Short,Max QTY,Over-Max,Junk Brand/Shelf,Part No,SP - 2(WP),SP-2 Value,SP - 3,SP - 4,SP - 5,SP - 6,SP - 7,TC,Arabic Name,Ope Cost
1,A02550,1 MORE AJWA DATES 400GM,,8906086749807,, , ,4.000,372.00,1488.00,,332.14,1328.57,,15225,11/6/2021,67,2.2,610.00,620.00,DATES,1 MORE,,2440.00,,0,IGW,610.000,GROCERY & GOURMET, , , , ,,AJWA DATES,,,,,,,,12,,
2,A02556,1 MORE AJWA DATES 500GM,,8906086749852,, , ,2.000,465.00,930.00,,415.18,830.36,,15225,11/6/2021,67,2.2,765.00,775.00,DATES,1 MORE,,1530.00,,0,THC,765.000,GROCERY & GOURMET, , , , ,,AJWA DATES ,,,,,,,,12,,
3,A02554,1 MORE AMLA WITH HONEY 300GM,,8906086740125,, , ,3.000,45.60,136.80,,40.71,122.14,,15225,11/6/2021,67,2.2,75.00,76.00,AMLA,1 MORE,,225.00,,0,TH,75.000,GROCERY & GOURMET, , , , ,,WITH HONEY,,,,,,,,12,,
4,A02553,1 MORE CASHEW SKIN 90GM,,8906086742501,, , ,6.000,66.00,396.00,,62.86,377.14,,15225,11/6/2021,67,2.2,109.00,110.00,CASHEW,1 MORE,,654.00,,0,HH,109.000,GROCERY & GOURMET, , , , ,,SKIN,,,,,,,,5,,
5,A03398,1 MORE DATES  FRESH 400GM,,8906086741627,, , ,4.000,54.00,216.00,,48.22,192.86,,15225,1/9/2022,3,0.1,88.00,90.00,DATES,1 MORE,,352.00,,0,CT,88.000,GROCERY & GOURMET, , , , ,,,,,,,,,,12,,
6,A02552,1 MORE DATES 400GM,,8906086740729,, , ,12.000,57.00,684.00,,50.89,610.72,,15225,11/6/2021,67,2.2,94.00,95.00,DATES,1 MORE,,1128.00,,0,CG,94.000,GROCERY & GOURMET, , , , ,,,,,,,,,,12,,
7,A03399,1 MORE DATES CRAZY 400GM,,8906086740569,, , ,6.000,119.40,716.39,,106.61,639.64,,15225,1/9/2022,3,0.1,195.00,199.00,DATES,1 MORE,,1170.00,,0,SSA,195.000,GROCERY & GOURMET, , , , ,,,,,,,,,,12,,
8,A02555,1 MORE DRY FRUIT MIX 300GM,,8906086741122,, , ,2.000,216.00,432.00,,192.86,385.71,,15225,11/6/2021,67,2.2,355.00,360.00,DRY FRUIT MIX,1 MORE,,710.00,,0,WSH,355.000,GROCERY & GOURMET, , , , ,,,,,,,,,,12,,
9,A03397,1 MORE DRY FRUIT MIX 400GM,,8906086741764,, , ,4.000,330.00,1320.00,,294.64,1178.57,,15225,1/9/2022,3,0.1,545.00,550.00,DRY FRUIT MIX,1 MORE,,2180.00,,0,IIV,545.000,DRY FRUITS, , , , ,,,,,,,,,,12,,
10,A02548,1 MORE MABROOM DATES 400GM,,8906086749821,, , ,5.000,432.00,2160.00,,385.71,1928.57,,15225,11/6/2021,67,2.2,710.00,720.00,DATES,1 MORE,,3550.00,,0,TIW,710.000,GROCERY & GOURMET, , , , ,,MABROOM DATES,,,,,,,,12,,
11,A02558,1 MORE MABROOM DATES 500GM,,8906086749845,, , ,2.000,534.00,1068.00,,476.79,953.57,,15225,11/6/2021,67,2.2,880.00,890.00,DATES,1 MORE,,1760.00,,0,CIT,880.000,GROCERY & GOURMET, , , , ,,MABROOM DATES ,,,,,,,,12,,
12,A02551,1 MORE MASHROOK DATES 400GM,,8906086749999,, , ,5.000,186.00,930.00,,166.07,830.36,,15225,11/6/2021,67,2.2,305.00,310.00,DATES,1 MORE,,1525.00,,0,SEH,305.000,GROCERY & GOURMET, , , , ,,MASHROOK DATES,,,,,,,,12,,
13,A02549,1 MORE SAFAWI DATES 400GM,,8906086749869,, , ,6.000,231.00,1386.00,,206.25,1237.50,,15225,11/6/2021,67,2.2,380.00,385.00,DATES,1 MORE,,2280.00,,0,WIS,380.000,GROCERY & GOURMET, , , , ,,SAFAWI DATES,,,,,,,,12,,
14,A02557,1 MORE SAFAWI DATES 500GM,,8906086749791,, , ,2.000,306.00,612.00,,273.21,546.43,,15225,11/6/2021,67,2.2,499.00,510.00,DATES,1 MORE,,998.00,,0,IVH,499.000,GROCERY & GOURMET, , , , ,,SAFAWI DATES ,,,,,,,,12,,
15,36561,12 WEEK FITNESS BOOK,,9789353450885,, , , ,159.20, ,,159.20, ,,LOHIT,,,,199.00,199.00,MAGAZINE,GENERAL,, ,,0,,,MAGAZINE, , , , ,,,,,,,,,,E,,159.20
16,25147,137 DEGREE ALMOND MILK COCONUT 1LTR,,8854761951383,, , , ,296.20, ,,251.02, ,,,,,,392.00,395.00,GENERAL,137 DEGREES,, ,,0,,,DIARY PRODUCTS, , , , ,,,,,,,,,,18,,296.20
17,26879,137 DEGREE WALNUT MILK 180ML,,8854761951444,,7.000,524.86, ,74.98, ,,63.54, ,,,,,,99.00,100.00,GENERAL,137 DEGREES,, ,,0,,,BEVERAGES, , , , ,,,,,,,,,,18,,74.98
18,25146,137 DEGREES ALMOND DRINK UNSWEETENED 1LT,,8854761951413,, , , ,296.20, ,,251.02, ,,,,,,392.00,395.00,MILK,137 DEGREES,, ,,0,,,DIARY PRODUCTS, , , , ,,,,,,,,,,18,,296.20
19,26880,137 DEGREES ALMOND MILK 180ML,,8854761951406,, , , ,67.50, ,,57.20, ,,,,,,89.00,90.00,MILK,138 DEGREES,, ,,0,,,BEVERAGES, , , , ,,,,,,,,,,18,,67.50
20,26880,137 DEGREES ALMOND MILK 180ML,,8854761951345,, , , ,67.50, ,,57.20, ,,,,,,89.00,90.00,MILK,138 DEGREES,, ,,0,,,BEVERAGES, , , , ,,,,,,,,,,18,,67.50
21,32273,137 DEGREES ALMOND MILK PISTA,,8854761951567,,2.000,712.36, ,356.18, ,,301.85, ,,,,,,472.00,475.00,MILK,140 DEGREES,, ,,0,,,BEVERAGES, , , , ,,,,,,,,,,18,,356.18
22,32274,137 DEGREES WALNUT MILK,,8854761951581,,3.000,1001.04, ,333.68, ,,282.78, ,,,,,,442.00,445.00,MILK,141 DEGREES,, ,,0,,,BEVERAGES, , , , ,,,,,,,,,,18,,333.68
23,11475,1ST STEP POTTY SEAT,,8906074361349,,1.000,583.26, ,583.26, ,,494.29, ,,SAI P,,,,795.00,799.00,POTTY SEAT,1ST STEP,, ,,0,,,BABY PRODUCTS, , , , ,,,,,,,,,,18,,583.26
24,11475,1ST STEP POTTY SEAT,,8906074361356,, , , ,583.26, ,,494.29, ,,SAI P,,,,795.00,799.00,POTTY SEAT,1ST STEP,, ,,0,,,BABY PRODUCTS, , , , ,,,,,,,,,,18,,583.26
25,11475,1ST STEP POTTY SEAT,,8906074361325,, , , ,269.36, ,,228.27, ,,SAI P,,,,367.00,369.00,POTTY SEAT,1ST STEP,, ,,0,,,BABY PRODUCTS, , , , ,,,,,,,,,,18,,269.36
